note,Chiplet,Core,Lane,Vector_Size,cin,cout,out_size,kernel_size,stride,OL1,AL1,WL1,real_WL1,AL2,reorder_case,rotation_enable,runtime,area-chiplet,area-package,total_memory_footprint,total_energy,chiplet_communication,dram_communication,DRAM_energy_A,DRAM_energy_W,DRAM_Energy,Die-to-Die_Energy,A-L2_Energy,A-L1_Energy,W-L1_Energy,Output_Energy,MAC_Energy,MOL1,MAL1,MWL1,sMWL1,MAL2,X1,Y1,K1,X2,Y2,K2,Kp,Yp,Kc,Yc,Xc,C1,C0,Csa,X0,Y0
conv1,4,8,16,8,8,64,224,3,1,96,65536,18688,9344,368640,1,False,56448.0,2078516.67225,8314066.688999999,1148.0,301289711.28817576,0,40517632,22261749.292855296,726915.1363301376,24967408.0,0.0,8354.276904960001,8864.2652471296,10374.661000396802,270745645.8930233,5549064.192,924844032,51380224,147456,576b,4515840,4,4,1,14,7,1,1,4,4,1,2,1,8,1,2,2
conv10,4,8,16,8,512,512,28,3,1,96,65536,37376,9344,368640,2,False,451584.0,2078516.67225,8314066.688999999,1148.0,2761805100.137655,0,1076641792,569900781.8970957,93045137.4502576,663438448.0,0.0,68053.76949288961,70914.1219770368,83373.64761968641,2053751797.062565,44392513.536,7398752256,411041792,18874368,147456b,115605504,1,1,1,7,7,4,4,1,2,2,2,64,8,1,2,2
conv11,4,8,16,8,512,512,14,3,1,1536,65536,37376,9344,368640,2,False,147456.0,2094001.806,8376007.223999999,1148.0,883009483.6044562,0,321126400,104675653.81783389,93045137.4502576,197881600.0,0.0,8779.8831906816,9045.16861952,2094.7604078592003,670612449.1682382,14495514.624,2415919104,52428800,18874368,147456b,21233664,1,1,1,1,1,4,4,1,2,2,2,64,8,1,8,8
conv12,4,8,16,8,512,512,14,3,1,1536,65536,37376,9344,368640,1,False,147456.0,2094001.806,8376007.223999999,1148.0,883009483.6044562,0,321126400,104675653.81783389,93045137.4502576,197881600.0,0.0,8779.8831906816,9045.16861952,2094.7604078592003,670612449.1682382,14495514.624,2415919104,52428800,18874368,147456b,21233664,1,1,1,1,1,4,4,1,2,2,2,64,8,1,8,8
conv13,4,8,16,8,512,512,14,3,1,1536,65536,37376,9344,368640,2,False,147456.0,2094001.806,8376007.223999999,1148.0,883009483.6044562,0,321126400,104675653.81783389,93045137.4502576,197881600.0,0.0,8779.8831906816,9045.16861952,2094.7604078592003,670612449.1682382,14495514.624,2415919104,52428800,18874368,147456b,21233664,1,1,1,1,1,4,4,1,2,2,2,64,8,1,8,8
conv2,4,8,16,8,64,64,224,3,1,1536,65536,18688,9344,368640,1,False,451584.0,2094001.806,8376007.223999999,1148.0,2286665699.901545,0,285605888,168199883.5460178,5815321.090641101,175993472.0,0.0,26414.121172992,27700.82889728,5210.852976230401,2066220388.562499,44392513.536,7398752256,160563200,1179648,4608b,34119680,2,1,1,7,7,1,1,4,4,1,2,8,8,1,8,8
conv3,4,8,16,8,64,128,112,3,1,24,65536,18688,9344,368640,1,False,225792.0,2077742.4155625,8310969.66225,1148.0,1127611169.6535506,0,116817920,59364664.78094746,11630642.181282202,71984480.0,0.0,74749.63739443201,79778.3872241664,165994.57600634883,1033109910.2849256,22196256.768,3699376128,462422016,2359296,9216b,12042240,4,4,1,14,7,2,1,4,4,1,2,8,8,1,1,1
conv4,4,8,16,8,128,128,112,3,1,24,65536,18688,9344,368640,1,False,451584.0,2077742.4155625,8310969.66225,1148.0,2247108588.261876,0,232030208,118729329.56189492,23261284.362564404,142979552.0,0.0,149499.27478886402,159556.7744483328,331989.15201269765,2059095477.5246265,44392513.536,7398752256,924844032,4718592,18432b,24084480,4,4,1,14,7,2,1,4,4,1,2,16,8,1,1,1
conv5,4,8,16,8,128,256,56,3,1,24,65536,37376,9344,368640,1,False,225792.0,2077742.4155625,8310969.66225,1148.0,1163625162.9546,0,181043200,98941107.96824576,11630642.181282202,111560800.0,0.0,74872.824692736,79778.3872241664,165994.57600634883,1029547460.3986768,22196256.768,3699376128,462422016,2359296,18432b,20070400,4,4,1,7,7,2,4,1,2,2,2,16,8,1,1,1
conv6,4,8,16,8,256,256,56,3,1,384,65536,37376,9344,368640,1,False,451584.0,2081613.699,8326454.796,1148.0,2322156364.144609,0,360480768,197882215.93649155,23261284.362564404,222132192.0,0.0,37898.364715008,39889.1936120832,20843.4119049216,2055533027.6383767,44392513.536,7398752256,231211008,4718592,36864b,40140800,1,1,1,7,7,2,4,1,2,2,2,32,8,1,4,4
conv7,4,8,16,8,256,256,56,3,1,384,65536,37376,9344,368640,1,False,451584.0,2081613.699,8326454.796,1148.0,2322156364.144609,0,360480768,197882215.93649155,23261284.362564404,222132192.0,0.0,37898.364715008,39889.1936120832,20843.4119049216,2055533027.6383767,44392513.536,7398752256,231211008,4718592,36864b,40140800,1,1,1,7,7,2,4,1,2,2,2,32,8,1,4,4
conv8,4,8,16,8,256,512,28,3,1,384,65536,18688,9344,368640,2,False,258048.0,2081613.699,8326454.796,1148.0,1368940009.542152,0,274137088,122121596.1208062,46522568.72512881,168926272.0,0.0,21684.3655053312,22793.8249211904,12053.8961805312,1174590054.863545,25367150.592,4227858432,132120576,9437184,36864b,24772608,2,1,1,2,7,2,4,1,4,1,2,32,8,1,4,4
conv9,4,8,16,8,512,512,28,3,1,96,65536,37376,9344,368640,2,False,451584.0,2078516.67225,8314066.688999999,1148.0,2761805100.137655,0,1076641792,569900781.8970957,93045137.4502576,663438448.0,0.0,68053.76949288961,70914.1219770368,83373.64761968641,2053751797.062565,44392513.536,7398752256,411041792,18874368,147456b,115605504,1,1,1,7,7,4,4,1,2,2,2,64,8,1,2,2
