cin,in_size,cout,out_size,kernel_size,stride,note
8,514,32,512,3,1,conv1
32,258,64,256,3,1,conv2
64,130,128,128,3,1,conv3a
128,128,64,128,1,1,conv3b
64,130,128,128,3,1,conv3c
128,66,256,64,3,1,conv4a
256,64,128,64,1,1,conv4b
128,68,256,64,3,1,conv4c
256,34,512,32,3,1,conv5a
512,32,256,32,1,1,conv5b
256,34,512,32,3,1,conv5c
512,32,256,32,1,1,conv5d
256,34,512,32,3,1,conv5e
512,18,1024,16,3,1,conv6a
1024,16,512,16,1,1,conv6b
512,18,1024,16,3,1,conv6c
1024,16,512,16,1,1,conv6d
512,18,1024,16,3,1,conv6e
1024,8,1000,8,1,1,conv7
